а	a
текшерүүдөн	t e k sh e r y y d oe n
текши	t e k sh i
текөөрлөшүп	t e k oe oe r l oe sh y p
телегейи	t e l e g e j i
телеграмма	t e l e g r a m m a
телеграмманы	t e l e g r a m m a n ih
телмирип	t e l m i r i p
телмиришет	t e l m i r i sh e t
телмиришти	t e l m i r i sh t i
телпектей	t e l p e k t e j
теминген	t e m i n g e n
теминип	t e m i n i p
теминишти	t e m i n i sh t i
темир	t e m i r
темирдей	t e m i r d e j
темирлерди	t e m i r l e r d i
темселеп	t e m s e l e p
темтеңдебей	t e m t e ng d e b e j
тентек	t e n t e к
тентектигин	t e n t e k t i g i n
тентектик	t e n t e k t i к
тентектин	t e n t e k t i n
тентибей	t e n t i b e j
тентип	t e n t i p
тентиреген	t e n t i r e g e n
тентирешип	t e n t i r e sh i p
тепкедей	t e p k e d e j
тепки	t e p k i
тепсей	t e p s e j
тепселип	t e p s e l i p
тепсеп	t e p s e p
тептегиз	t e p t e g i z
тепти	t e p t i
тепчип	t e p tsh i p
тер	t e r
терге	t e r g e
тергөө	t e r g oe oe
тергөөгө	t e r g oe oe g oe
тергөөнүн	t e r g oe oe n y n
тергөөчүлөр	t e r g oe oe tsh y l oe r
тердеген	t e r d e g e n
тердей	t e r d e j
тердеп	t e r d e p
тердете	t e r d e t e
терди	t e r d i
тере	t e r e
тереги	t e r e g i
терегийин	t e r e g i j i n
терек	t e r e к
терекке	t e r e k k e
теректен	t e r e k t e n
теректентерекке	t e r e k t e n t e r e k k e
теректер	t e r e k t e r
теректерди	t e r e k t e r d i
теректин	t e r e k t i n
терең	t e r e ng
тереңге	t e r e ng g e
тереңде	t e r e ng d e
тереңдеп	t e r e ng d e p
тереңдөөдө	t e r e ng d oe oe d oe
тереңирээк	t e r e ng i r eh eh к
териден	t e r i d e n
терикти	t e r i k t i
терилген	t e r i l g e n
терилерге	t e r i l e r g e
терин	t e r i n
терип	t e r i p
териси	t e r i s i
терисин	t e r i s i n
терисинин	t e r i s i n i n
теришкиле	t e r i sh k i l e
териштире	t e r i sh t i r e
териңди	t e r i ng d i
терлери	t e r l e r i
терме	t e r m e
термелгенде	t e r m e l g e n d e
термеле	t e r m e l e
термелет	t e r m e l e t
термелип	t e r m e l i p
термелтти	t e r m e l t t i
термелүүчү	t e r m e l y y tsh y
термечиков	t e r m e tsh i q o в
терс	t e r s
терсаяктарды	t e r s a j a кt a r d ih
терсколдун	t e r s q o l d u n
терчү	t e r tsh y
терөзеден	t e r oe z e d e n
терөзенин	t e r oe z e n i n
терөзеси	t e r oe z e s i
терөзесинин	t e r oe z e s i n i n
терөк	t e r oe к
теске	t e s k e
тескей	t e s k e j
тескейи	t e s k e j i
тескери	t e s k e r i
тескерисин	t e s k e r i s i n
тескерисинче	t e s k e r i s i n tsh e
тетеги	t e t e g i
тетиги	t e t i g i
тетигинде	t e t i g i n d e
тетири	t e t i r i
тетирисинен	t e t i r i s i n e n
тетирисинче	t e t i r i s i n tsh e
тетйри	t e t j r i
техника	t e h n i q a
тешет	t e sh e t
тешигинен	t e sh i g i n e n
тешик	t e sh i к
тешиктен	t e sh i k t e n
тең	t e ng
теңдеш	t e ng d e sh
теңдеши	t e ng d e sh i
теңдиги	t e ng d i g i
теңдигине	t e ng d i g i n e
теңдик	t e ng d i к
теңдикке	t e ng d i k k e
теңдиктин	t e ng d i k t i n
теңдүү	t e ng d y y
теңдүүбү	t e ng d y y b y
теңебейт	t e ng e b e j t
теңеген	t e ng e g e n
теңейт	t e ng e j t
теңеле	t e ng e l e
теңелип	t e ng e l i p
теңештирүүгө	t e ng e sh t i r y y g oe
теңим	t e ng i m
теңине	t e ng i n e
теңир	t e ng i r
теңмин	t e ng m i n
теңселген	t e ng s e l g e n
теңселишет	t e ng s e l i sh e t
теңтайлаш	t e ng t a j l a sh
теңтупгум	t e ng t u p gh u m
теңтуш	t e ng t u sh
теңтуштары	t e ng t u sh t a r ih
теңтуштарым	t e ng t u sh t a r ih m
тиги	t i g i
тигилген	t i g i l g e n
тигилди	t i g i l d i
тигиле	t i g i l e
тигилер	t i g i l e r
тигилерге	t i g i l e r g e
тигилердин	t i g i l e r d i n
тигилип	t i g i l i p
тигилишти	t i g i l i sh t i
тигине	t i g i n e
тигини	t i g i n i
тигиниси	t i g i n i s i
тигинисин	t i g i n i s i n
тигиши	t i g i sh i
тиеби	t i e b i
тиер	t i e r
тиери	t i e r i
тиет	t i e t
тиешелүү	t i e sh e l y y
тиешеңер	t i e sh e ng e r
тиешеңиз	t i e sh e ng i z
тизгин	t i z g i n
тизгиндеген	t i z g i n d e g e n
тизгинден	t i z g i n d e n
тизгиндеп	t i z g i n d e p
тизгини	t i z g i n i
тизгинин	t i z g i n i n
тизгинине	t i z g i n i n e
тизгиниң	t i z g i n i ng
тизелеп	t i z e l e p
тизесин	t i z e s i n
тизесине	t i z e s i n e
тизесинин	t i z e s i n i n
тизип	t i z i p
тизме	t i z m e
тизмегин	t i z m e g i n
тийбегей	t i j b e g e j
тийбеген	t i j b e g e n
тийбегендир	t i j b e g e n d i r
тийбеди	t i j b e d i
тийбей	t i j b e j
тийбейт	t i j b e j t
тийбесе	t i j b e s e
тийбечи	t i j b e tsh i
тийген	t i j g e n
тийгенде	t i j g e n d e
тийгендей	t i j g e n d e j
тийгенден	t i j g e n d e n
тийгендер	t i j g e n d e r
тийгендир	t i j g e n d i r
тийгенин	t i j g e n i n
тийгенине	t i j g e n i n e
тийгенсиди	t i j g e n s i d i
тийгенсип	t i j g e n s i p
тийгиз	t i j g i z
тийгизди	t i j g i z d i
тийгиздиң	t i j g i z d i ng
тийгиздиңизби	t i j g i z d i ng i z b i
тийгизе	t i j g i z e
тийгизем	t i j g i z e m
тийгис	t i j g i s
тийди	t i j d i
тийдиң	t i j d i ng
тийейин	t i j e j i n
тийип	t i j i p
тийиптирби	t i j i p t i r b i
тийиш	t i j i sh
тийише	t i j i sh e
тийиши	t i j i sh i
тийишибиз	t i j i sh i b i z
тийишкиң	t i j i sh k i ng
тийиштик	t i j i sh t i к
тийиштире	t i j i sh t i r e
тийиштүү	t i j i sh t y y
тийиштүүсүн	t i j i sh t y y s y n
тиймек	t i j m e к
тийсе	t i j s e
тийсем	t i j s e m
тик	t i к
тике	t i k e
тикен	t i k e n
тикенге	t i k e n g e
тикесинен	t i k e s i n e n
тикирейе	t i k i r e j e
тикирейтип	t i k i r e j t i p
тикирепишип	t i k i r e p i sh i p
тиккенин	t i k k e n i n
тиккич	t i k k i tsh
тикмейинче	t i k m e j i n tsh e
тиктеген	t i k t e g e n
тиктегендер	t i k t e g e n d e r
тиктегендерге	t i k t e g e n d e r g e
тиктегени	t i k t e g e n i
тиктегенсип	t i k t e g e n s i p
тиктеди	t i k t e d i
тиктейт	t i k t e j t
тиктемиш	t i k t e m i sh
тиктеп	t i k t e p
тиктешет	t i k t e sh e t
тиктешинен	t i k t e sh i n e n
тиктешип	t i k t e sh i p
тиктешкендин	t i k t e sh k e n d i n
тиктешти	t i k t e sh t i
тиктиришип	t i k t i r i sh i p
тиктөө	t i k t oe oe
тиктөөнү	t i k t oe oe n y
тикчие	t i k tsh i e
тикчийтип	t i k tsh i j t i p
тикчийтишип	t i k tsh i j t i sh i p
тил	t i l
тилге	t i l g e
тилген	t i l g e n
тилден	t i l d e n
тилдерин	t i l d e r i n
тилди	t i l d i
тилдүү	t i l d y y
тилебегенине	t i l e b e g e n i n e
тилеген	t i l e g e n
тилегендер	t i l e g e n d e r
тилегени	t i l e g e n i
тилегенине	t i l e g e n i n e
тилеги	t i l e g i
тилегибизге	t i l e g i b i z g e
тилегибизди	t i l e g i b i z d i
тилегин	t i l e g i n
тилегине	t i l e g i n e
тилегиң	t i l e g i ng
тилегиңди	t i l e g i ng d i
тилегиңе	t i l e g i ng e
тиледи	t i l e d i
тиледим	t i l e d i m
тилейбиз	t i l e j b i z
тилейт	t i l e j t
тилек	t i l e к
тилекке	t i l e k k e
тилекте	t i l e k t e
тилектеш	t i l e k t e sh
тилектешиң	t i l e k t e sh i ng
тилектештеринин	t i l e k t e sh t e r i n i n
тилектин	t i l e k t i n
тиленет	t i l e n e t
тилеп	t i l e p
тилерибиз	t i l e r i b i z
тилешет	t i l e sh e t
тили	t i l i
тилимди	t i l i m d i
тилин	t i l i n
тилингендей	t i l i n g e n d e j
тилинде	t i l i n d e
тилине	t i l i n e
тилинен	t i l i n e n
тилишип	t i l i sh i p
тилиң	t i l i ng
тилиңерди	t i l i ng e r d i
тилмеч	t i l m e tsh
тилмечтер	t i l m e tsh t e r
тилпнин	t i l p n i n
тилсиз	t i l s i z
тилөөчү	t i l oe oe tsh y
тим	t i m
тинтип	t i n t i p
тинтишип	t i n t i sh i p
тип	t i p
типтии	t i p t i i
типтик	t i p t i к
тиреген	t i r e g e n
тирелет	t i r e l e t
тирелип	t i r e l i p
тирелишип	t i r e l i sh i p
тирелишкен	t i r e l i sh k e n
тиреп	t i r e p
тиреше	t i r e sh e
тирешкен	t i r e sh k e n
тири	t i r i
тирилигине	t i r i l i g i n e
тиричилиги	t i r i tsh i l i g i
тиричилигине	t i r i tsh i l i g i n e
тиричилигиңе	t i r i tsh i l i g i ng e
тиричилик	t i r i tsh i l i к
тиричиликке	t i r i tsh i l i k k e
тиричиликте	t i r i tsh i l i k t e
тиричиликти	t i r i tsh i l i k t i
тирлик	t i r l i к
тирмийген	t i r m i j g e n
тирмийе	t i r m i j e
тирмийип	t i r m i j i p
тирчилигин	t i r tsh i l i g i n
тирчилик	t i r tsh i l i к
тирчиликтен	t i r tsh i l i k t e n
тирүү	t i r y y
тирүүбү	t i r y y b y
тирүүлүгүңдү	t i r y y l y g y ng d y
тирүүлүк	t i r y y l y к
тирүүлүктон	t i r y y l y k t o n
тирүүлүктөн	t i r y y l y k t oe n
тирүүлөй	t i r y y l oe j
тирүүлөрү	t i r y y l oe r y
тирүүмдө	t i r y y m d oe
тирүүнүн	t i r y y n y n
тирүүсүндө	t i r y y s y n d oe
тирүүсүндөгү	t i r y y s y n d oe g y
тирүүсүңбү	t i r y y s y ng b y
титирейт	t i t i r e j t
титиреп	t i t i r e p
титиретесиң	t i t i r e t e s i ng
титиретет	t i t i r e t e t
титиреши	t i t i r e sh i
тиш	t i sh
тиши	t i sh i
тишин	t i sh i n
тиштенген	t i sh t e n g e n
тиштенди	t i sh t e n d i
тиштенип	t i sh t e n i p
тиштеп	t i sh t e p
тишши	t i sh sh i
тияктан	t i j a кt a n
тйктеп	t j кt e p
ткктеп	t ккt e p
тм	t m
тобо	t o w o
тобокел	t o w o k e l
тобокелге	t o w o k e l g e
тоборсуй	t o w o r s u j
тобосунан	t o w o s u n a n
тобу	t o w u
тобун	t o w u n
тобуна	t o w u n a
тобунан	t o w u n a n
тобурашкандарды	t o w u r a sh q a n d a r d ih
тобөсүнө	t o b oe s y n oe
тоголок	t o gh o l o к
тоголотконуна	t o gh o l o t q o n u n a
тогуз	t o gh u z
тогуздаган	t o gh u z d a gh a n
тогузду	t o gh u z d u
тогузкайрыкты	t o gh u z q a j r ih q t ih
тогунан	t o gh u n a n
тогүү	t o g y y
тоер	t o e r
тозокту	t o z o q t u
тозоку	t o z o q u
той	t o j
тойбогон	t o j b o gh o n
тойбой	t o j b o j
тойбойт	t o j b o j t
тойбосо	t o j b o s o
тойго	t o j gh o
тойгон	t o j gh o n
тойгончо	t o j gh o n tsh o
тойгузуп	t o j gh u z u p
тойдо	t o j d o
тойдун	t o j d u n
тойкожо	t o j q o zh o
тойкожого	t o j q o zh o gh o
тойкожону	t o j q o zh o n u
тойкожонун	t o j q o zh o n u n
тойлорго	t o j l o r gh o
тойлордо	t o j l o r d o
тоймат	t o j m a t
тойматка	t o j m a t q a
тойматов	t o j m a t o в
тойматтан	t o j m a t t a n
тойматтын	t o j m a t t ih n
тойтамаша	t o j t a m a sh a
тойчу	t o j tsh u
тойчук	t o j tsh u к
тойчусунан	t o j tsh u s u n a n
ток	t o к
токмогу	t o q m o gh u
токмок	t o q m o к
токмоктой	t o q m o q t o j
токо	t o q o
токой	t o q o j
токойго	t o q o j gh o
токойдо	t o q o j d o
токойдогу	t o q o j d o gh u
токойдон	t o q o j d o n
токойду	t o q o j d u
токойдун	t o q o j d u n
токойлорун	t o q o j l o r u n
токол	t o q o l
токолго	t o q o l gh o
токолдун	t o q o l d u n
токолу	t o q o l u
токолун	t o q o l u n
токолуна	t o q o l u n a
токолунан	t o q o l u n a n
токолунун	t o q o l u n u n
токолуң	t o q o l u ng
током	t o q o m
токомдон	t o q o m d o n
токомо	t o q o m o
токою	t o q o j u
токоң	t o q o ng
токоңдун	t o q o ng d u n
токто	t o q t o
токтобогон	t o q t o w o gh o n
токтобой	t o q t o w o j
токтобойт	t o q t o w o j t
токтобоочудай	t o q t o w o o tsh u d a j
токтобосу	t o q t o w o s u
токтогонда	t o q t o gh o n d a
токтогондо	t o q t o gh o n d o
токтогул	t o q t o gh u l
токтогула	t o q t o gh u l a
токтогулачы	t o q t o gh u l a tsh ih
токтогулга	t o q t o gh u l gh a
токтогулдай	t o q t o gh u l d a j
токтогулдан	t o q t o gh u l d a n
токтогулду	t o q t o gh u l d u
токтогулдукуна	t o q t o gh u l d u q u n a
токтогулдун	t o q t o gh u l d u n
токтогулча	t o q t o gh u l tsh a
токтоду	t o q t o d u
токтой	t o q t o j
токтойт	t o q t o j t
токтолбогону	t o q t o l b o gh o n u
токтолбогонуна	t o q t o l b o gh o n u n a
токтолбой	t o q t o l b o j
токтолбостон	t o q t o l b o s t o n
токтолгон	t o q t o l gh o n
токтолгондо	t o q t o l gh o n d o
токтолгуң	t o q t o l gh u ng
токтолду	t o q t o l d u
токтоло	t o q t o l o
токтолор	t o q t o l o r
токтолсун	t o q t o l s u n
токтолуп	t o q t o l u p
токтолушту	t o q t o l u sh t u
токтомдору	t o q t o m d o r u
токтоно	t o q t o n o
токтоо	t o q t o o
токтоолук	t o q t o o l u к
токтоп	t o q t o p
токтосоңчу	t o q t o s o ng tsh u
токтот	t o q t o t
токтоткои	t o q t o t q o i
токтоткон	t o q t o t q o n
токтотконсуп	t o q t o t q o n s u p
токтоткону	t o q t o t q o n u
токтоткула	t o q t o t q u l a
токтоткусу	t o q t o t q u s u
токтото	t o q t o t o
токтотот	t o q t o t o t
токтотту	t o q t o t t u
токтотуп	t o q t o t u p
токтотуу	t o q t o t u u
токтотууга	t o q t o t u u gh a
токтотуучу	t o q t o t u u tsh u
токтотушат	t o q t o t u sh a t
токтотушту	t o q t o t u sh t u
токтотушуп	t o q t o t u sh u p
токточу	t o q t o tsh u
токтошкондон	t o q t o sh q o n d o n
токтошту	t o q t o sh t u
токтунун	t o q t u n u n
токуган	t o q u gh a n
токугула	t o q u gh u l a
токуду	t o q u d u
токулгасын	t o q u l gh a s ih n
токунуп	t o q u n u p
токуп	t o q u p
токутуп	t o q u t u p
токуу	t o q u u
толбойт	t o l b o j t
толгобой	t o l gh o w o j
толгогондо	t o l gh o gh o n d o
толгоду	t o l gh o d u
толгой	t o l gh o j
толгойтолгой	t o l gh o j t o l gh o j
толголуу	t o l gh o l u u
толгон	t o l gh o n
толгондой	t o l gh o n d o j
толгондон	t o l gh o n d o n
толгоно	t o l gh o n o
толгонткон	t o l gh o n t q o n
толгоосу	t o l gh o o s u
толгоп	t o l gh o p
толду	t o l d u
толкундаган	t o l q u n d a gh a n
толкундады	t o l q u n d a d ih
толкундана	t o l q u n d a n a
толкунданыа	t o l q u n d a n ih a
толкунсуз	t o l q u n s u z
толкунунда	t o l q u n u n d a
толкуп	t o l q u p
толматты	t o l m a t t ih
толмоч	t o l m o tsh
толмочунан	t o l m o tsh u n a n
толо	t o l o
толорлук	t o l o r l u к
толтур	t o l t u r
толтура	t o l t u r a
толтурду	t o l t u r d u
толтурулганда	t o l t u r u l gh a n d a
толтурулду	t o l t u r u l d u
толтуруп	t o l t u r u p
толубай	t o l u w a j
толук	t o l u к
толукталууда	t o l u q t a l u u d a
толуктап	t o l u q t a p
толукшуган	t o l u q sh u gh a n
толукшуп	t o l u q sh u p
толумдуу	t o l u m d u u
толуп	t o l u p
томаяк	t o m a j a к
томаяктар	t o m a j a кt a r
томаяктардын	t o m a j a кt a r d ih n
томаяктын	t o m a j a кt ih n
томоголуу	t o m o gh o l u u
томолок	t o m o l o к
томолонушту	t o m o l o n u sh t u
томпоет	t o m p o e t
томпойтушкан	t o m p o j t u sh q a n
томпоюп	t o m p o j u p
томсорбогон	t o m s o r b o gh o n
томсоргон	t o m s o r gh o n
томсорду	t o m s o r d u
томсоруп	t o m s o r u p
томсорушту	t o m s o r u sh t u
тон	t o n
тонду	t o n d u
тондун	t o n d u n
тончон	t o n tsh o n
тоо	t o o
тоого	t o o gh o
тоодо	t o o d o
тоодой	t o o d o j
тоодон	t o o d o n
тооиун	t o o i u n
тоолор	t o o l o r
тоолордон	t o o l o r d o n
тоолорун	t o o l o r u n
тоолорунун	t o o l o r u n u n
тоолук	t o o l u к
тоолуктар	t o o l u q t a r
тоону	t o o n u
тоонун	t o o n u n
тооруп	t o o r u p
тоосун	t o o s u n
тооташтын	t o o t a sh t ih n
тоотушпай	t o o t u sh p a j
топ	t o p
топко	t o p q o
топон	t o p o n
топорлор	t o p o r l o r
топорлордон	t o p o r l o r d o n
топто	t o p t o
топтолуп	t o p t o l u p
топтолушкан	t o p t o l u sh q a n
топтолушуптур	t o p t o l u sh u p t u r
топтон	t o p t o n
топтонтопко	t o p t o n t o p q o
топтоо	t o p t o o
топтоп	t o p t o p
топтошкон	t o p t o sh q o n
топтоштурулган	t o p t o sh t u r u l gh a n
топтошуп	t o p t o sh u p
топту	t o p t u
топтун	t o p t u n
топу	t o p u
топуга	t o p u gh a
топулары	t o p u l a r ih
топулуу	t o p u l u u
топуну	t o p u n u
топураган	t o p u r a gh a n
топурагы	t o p u r a gh ih
топурак	t o p u r a к
топуракка	t o p u r a q q a
топурактан	t o p u r a q t a n
топурактардын	t o p u r a q t a r d ih n
топуракты	t o p u r a q t ih
топурашкан	t o p u r a sh q a n
топурашканы	t o p u r a sh q a n ih
топурашып	t o p u r a sh ih p
топусу	t o p u s u
топусун	t o p u s u n
топучан	t o p u tsh a n
топчулана	t o p tsh u l a n a
топчуланып	t o p tsh u l a n ih p
топчуларын	t o p tsh u l a r ih n
топчусун	t o p tsh u s u n
топчусуы	t o p tsh u s u ih
тор	t o r
торгой	t o r gh o j
торгойго	t o r gh o j gh o
торгойдой	t o r gh o j d o j
торгойдон	t o r gh o j d o n
торгойдун	t o r gh o j d u n
торгойлордун	t o r gh o j l o r d u n
тордон	t o r d o n
торкенге	t o r k e n g e
тороду	t o r o d u
торой	t o r o j
торойт	t o r o j t
торпогу	t o r p o gh u
торпок	t o r p o к
торпоктой	t o r p o q t o j
тору	t o r u
торуна	t o r u n a
торунан	t o r u n a n
торунун	t o r u n u n
тоскон	t o s q o n
тоскону	t o s q o n u
тоскоол	t o s q o o l
тоскоолдук	t o s q o o l d u к
тосо	t o s o
тососуңбу	t o s o s u ng b u
тоспойт	t o s p o j t
тосту	t o s t u
тосуп	t o s u p
тосушуп	t o s u sh u p
тою	t o j u
тоюна	t o j u n a
тоюнабы	t o j u n a w ih
тоюнда	t o j u n d a
тоюнду	t o j u n d u
тоюнуп	t o j u n u p
тоют	t o j u t
тоюткор	t o j u t q o r
тоюткорун	t o j u t q o r u n
тоюңузга	t o j u ng u z gh a
тоң	t o ng
тпзгинин	t p z g i n i n
тпзеден	t p z e d e n
трагедиясы	t r a g e d i j a s ih
трестинде	t r e s t i n d e
трийке	t r i j k e
трике	t r i k e
трлрышыпбырышып	t r l r ih sh ih p b ih r ih sh ih p
трубанын	t r u w a n ih n
трубасын	t r u w a s ih n
тскушту	t s q u sh t u
тсноңа	t s n o ng a
ту	t u
тубаса	t u w a s a
тубасабы	t u w a s a w ih
тузашуу	t u z a sh u u
тузумду	t u z u m d u
тузун	t u z u n
тузуна	t u z u n a
тузуңду	t u z u ng d u
туйганда	t u j gh a n d a
туйгундай	t u j gh u n d a j
туйду	t u j d u
туйлады	t u j l a d ih
туйлай	t u j l a j
туйлап	t u j l a p
туйлаткан	t u j l a t q a n
туйлатты	t u j l a t t ih
туйлатып	t u j l a t ih p
туйлатышып	t u j l a t ih sh ih p
тукаба	t u q a w a
тукум	t u q u m
тукумдары	t u q u m d a r ih
тукумун	t u q u m u n
тукумунап	t u q u m u n a p
тукумуң	t u q u m u ng
тукумуңду	t u q u m u ng d u
тула	t u l a
тулгага	t u l gh a gh a
тулку	t u l q u
тулпар	t u l p a r
тулпарынын	t u l p a r ih n ih n
тултук	t u l t u к
тумагын	t u m a gh ih n
тумагына	t u m a gh ih n a
тумак	t u m a к
туман	t u m a n
тумар	t u m a r
тумарбы	t u m a r b ih
тумбочка	t u m b o tsh q a
тумчугуп	t u m tsh u gh u p
тумшугу	t u m sh u gh u
тумшугун	t u m sh u gh u n
тумшугуна	t u m sh u gh u n a
тумшугунан	t u m sh u gh u n a n
тумшукка	t u m sh u q q a
тумшуктары	t u m sh u q t a r ih
тумшукту	t u m sh u q t u
тумшуту	t u m sh u t u
тун	t u n
тунам	t u n a m
тунара	t u n a r a
тунат	t u n a t
тундура	t u n d u r a
тундуруп	t u n d u r u p
тунжурады	t u n zh u r a d ih
тунжурап	t u n zh u r a p
тунук	t u n u к
тунукелүү	t u n u k e l y y
тунуктугу	t u n u q t u gh u
тунуктугун	t u n u q t u gh u n
тунушту	t u n u sh t u
тур	t u r
тура	t u r a
турабы	t u r a w ih
турабыз	t u r a w ih z
турагы	t u r a gh ih
турайын	t u r a j ih n
туралбай	t u r a l b a j
туралыбы	t u r a l ih w ih
турам	t u r a m
турарда	t u r a r d a
турасыз	t u r a s ih z
турасызбы	t u r a s ih z b ih
турасың	t u r a s ih ng
турасыңар	t u r a s ih ng a r
турасыңарбы	t u r a s ih ng a r b ih
турасыңбы	t u r a s ih ng b ih
турат	t u r a t
турбаганын	t u r b a gh a n ih n
турбай	t u r b a j
турбайбы	t u r b a j b ih
турбаймбы	t u r b a j m b ih
турбайсызбы	t u r b a j s ih z b ih
турбайсыңарбы	t u r b a j s ih ng a r b ih
турбайсыңбы	t u r b a j s ih ng b ih
турбайт	t u r b a j t
турбаса	t u r b a s a
турбасаң	t u r b a s a ng
турбастан	t u r b a s t a n
тургак	t u r gh a к
турган	t u r gh a n
турганда	t u r gh a n d a
тургандай	t u r gh a n d a j
тургандар	t u r gh a n d a r
тургандардын	t u r gh a n d a r d ih n
тургандыгы	t u r gh a n d ih gh ih
тургандыгын	t u r gh a n d ih gh ih n
тургандыр	t u r gh a n d ih r
тургансыды	t u r gh a n s ih d ih
тургансыйт	t u r gh a n s ih j t
тургансып	t u r gh a n s ih p
тургансышып	t u r gh a n s ih sh ih p
турганы	t u r gh a n ih
турганыбыз	t u r gh a n ih w ih z
турганымды	t u r gh a n ih m d ih
турганын	t u r gh a n ih n
турганына	t u r gh a n ih n a
турганыңарды	t u r gh a n ih ng a r d ih
турганыңды	t u r gh a n ih ng d ih
тургап	t u r gh a p
тургапдарга	t u r gh a p d a r gh a
тургаыдары	t u r gh a ih d a r ih
тургаң	t u r gh a ng
тургузган	t u r gh u z gh a n
тургузду	t u r gh u z d u
тургузулуп	t u r gh u z u l u p
тургузушат	t u r gh u z u sh a t
тургузушуп	t u r gh u z u sh u p
тургула	t u r gh u l a
тургулачы	t u r gh u l a tsh ih
тургусу	t u r gh u s u
турду	t u r d u
турдуайыке	t u r d u a j ih k e
турмак	t u r m a к
турмуш	t u r m u sh
турмушка	t u r m u sh q a
турмуштан	t u r m u sh t a n
турмушту	t u r m u sh t u
турмуштун	t u r m u sh t u n
турмушу	t u r m u sh u
турмушун	t u r m u sh u n
турмушуна	t u r m u sh u n a
турмушунан	t u r m u sh u n a n
турмушундагы	t u r m u sh u n d a gh ih
турмушунун	t u r m u sh u n u n
турмушуңар	t u r m u sh u ng a r
турналар	t u r n a l a r
турпаты	t u r p a t ih
турса	t u r s a
турсакпы	t u r s a q p ih
турсаң	t u r s a ng
турсаңчы	t u r s a ng tsh ih
турсун	t u r s u n
турсунбу	t u r s u n b u
туру	t u r u
туруксуздугун	t u r u q s u z d u gh u n
туруктуу	t u r u q t u u
турумтай	t u r u m t a j
турумтайдай	t u r u m t a j d a j
турумтайды	t u r u m t a j d ih
туруп	t u r u p
туруптур	t u r u p t u r
турусбеков	t u r u s b e q o в
турусбековдун	t u r u s b e q o вd u n
туруу	t u r u u
турууга	t u r u u gh a
турууну	t u r u u n u
туруучу	t u r u u tsh u
турушат	t u r u sh a t
турушкан	t u r u sh q a n
турушканына	t u r u sh q a n ih n a
турушпаса	t u r u sh p a s a
турушту	t u r u sh t u
туруштук	t u r u sh t u к
турушу	t u r u sh u
турушунан	t u r u sh u n a n
турушунун	t u r u sh u n u n
турушуп	t u r u sh u p
туруңуз	t u r u ng u z
турчу	t u r tsh u
туталана	t u t a l a n a
туталанбай	t u t a l a n b a j
туталанганы	t u t a l a n gh a n ih
туталанды	t u t a l a n d ih
туталанып	t u t a l a n ih p
тутам	t u t a m
тутамындагы	t u t a m ih n d a gh ih
тутанбайт	t u t a n b a j t
тутандырды	t u t a n d ih r d ih
тутанткысы	t u t a n t q ih s ih
тутар	t u t a r
туташкансып	t u t a sh q a n s ih p
туташып	t u t a sh ih p
туткактап	t u t q a q t a p
туткан	t u t q a n
туткундардын	t u t q u n d a r d ih n
туткунунан	t u t q u n u n a n
туткунунда	t u t q u n u n d a
тутулуп	t u t u l u p
тутумдаш	t u t u m d a sh
тутунгандай	t u t u n gh a n d a j
тутуп	t u t u p
тутууга	t u t u u gh a
туу	t u u
туубаган	t u u w a gh a n
туубай	t u u w a j
туубасам	t u u w a s a m
туугай	t u u gh a j
тууган	t u u gh a n
тууганбай	t u u gh a n b a j
тууганбайга	t u u gh a n b a j gh a
тууганбайдан	t u u gh a n b a j d a n
тууганбайды	t u u gh a n b a j d ih
тууганбайдыкы	t u u gh a n b a j d ih q ih
тууганбайдын	t u u gh a n b a j d ih n
туугандай	t u u gh a n d a j
туугандар	t u u gh a n d a r
туугандарга	t u u gh a n d a r gh a
туугандардын	t u u gh a n d a r d ih n
туугандары	t u u gh a n d a r ih
туугандарыман	t u u gh a n d a r ih m a n
туугандарына	t u u gh a n d a r ih n a
туугандарынын	t u u gh a n d a r ih n ih n
туугандык	t u u gh a n d ih к
туугандыктын	t u u gh a n d ih q t ih n
туугандын	t u u gh a n d ih n
тууганча	t u u gh a n tsh a
тууганчылыгы	t u u gh a n tsh ih l ih gh ih
тууганчылык	t u u gh a n tsh ih l ih к
тууганчылыкты	t u u gh a n tsh ih l ih q t ih
тууганчылыктын	t u u gh a n tsh ih l ih q t ih n
тууганы	t u u gh a n ih
тууганыбыз	t u u gh a n ih w ih z
тууганым	t u u gh a n ih m
тууганымын	t u u gh a n ih m ih n
тууганын	t u u gh a n ih n
тууганынын	t u u gh a n ih n ih n
тууганың	t u u gh a n ih ng
туудурган	t u u d u r gh a n
туулат	t u u l a t
туулбаганы	t u u l b a gh a n ih
туулган	t u u l gh a n
туулганда	t u u l gh a n d a
туулуп	t u u l u p
тууну	t u u n u
тууп	t u u p
туура	t u u r a
туурагандай	t u u r a gh a n d a j
туурадан	t u u r a d a n
тууралайм	t u u r a l a j m
туураланып	t u u r a l a n ih p
тууралуу	t u u r a l u u
тууралыгына	t u u r a l ih gh ih n a
тууралыгып	t u u r a l ih gh ih p
туурап	t u u r a p
туураса	t u u r a s a
туурасынан	t u u r a s ih n a n
туурга	t u u r gh a
туурда	t u u r d a
туурдугу	t u u r d u gh u
туурдугунан	t u u r d u gh u n a n
туурдук	t u u r d u к
туурдукка	t u u r d u q q a
туурдукту	t u u r d u q t u
